% Model,Untitled.mph
% Version,COMSOL 6.1.0.346
% Date,"May 31 2024, 12:31"
% Dimension,2
% Nodes,2105
% Expressions,2
% Description,"Displacement field, X-component, Displacement field, Y-component"
% Length unit,mm
% X,Y,u (mm),v (mm)
-2.1077606546283008,-2.3409068804206794,0.02299706128367422,0.04715647691493436
-2.2140625701239665,-2.682647979287691,0.021364088632866183,0.04406436651724611
-1.8515227276225859,-2.548404125937842,0.020511722209288933,0.044026985384715896
-1.9179506131754063,-2.895359796427913,0.01906380741825643,0.04117551549905462
-1.5749992117635603,-2.7279804770093494,0.01846416864924211,0.04076431610979323
-2.340905258386633,-2.107762456079386,0.025815257159415465,0.05019829148904265
-2.492624992285481,-2.4245275662026375,0.02417824534744895,0.04706669741381415
-2.548402701094662,-1.8515246887507124,0.028828491453627092,0.053199854967527736
-2.7161714814914064,-2.1606201550233126,0.02701540009484411,0.049850525912425815
-1.6083976734274956,-3.0831767268374835,0.017219315229091096,0.03816305302910966
-1.2812198932176373,-2.877668428645556,0.016923396277792244,0.03736992452139587
-1.2961565289660804,-3.238329228655247,0.015908040618898476,0.0351603059726315
-0.973402992434872,-2.9958282017363462,0.015904395075242442,0.0339813699787156
-2.727979264962387,-1.5750013110900167,0.031871605059725465,0.056188222624232266
-2.9718638403018196,-1.863349077308167,0.030283774972936394,0.05271708958311292
-0.9528320015164238,-3.37426476085538,0.015018180059544866,0.03200811007842947
-0.6549214329935253,-3.0811650258637076,0.015338255536101778,0.03093235909825592
-0.5587363689329728,-3.4382230632738673,0.01463326777658479,0.0291072008912366
-0.32926454573125724,-3.1327439823458896,0.015072033439300471,0.028667803471080656
-2.877667442679066,-1.2812221077334405,0.03475745682885125,0.059183353008638036
-3.112678773829486,-1.5648716180036215,0.033072740513356284,0.05554840307568643
-2.9958274526516306,-0.9734052978789647,0.037293350055223225,0.06219429771495869
-3.2514667809656834,-1.2421228976028897,0.03580763082092783,0.05847043931365619
-0.21574082915152126,-3.4777090749589314,0.014535005443938842,0.027331581092349153
0,-3.1500000000000004,0.014911429059424967,0.027585291133663353
0.11920772956789914,-3.487807749526571,0.014501854823412192,0.026683322867246517
0.32926325552995345,-3.1327441179511957,0.014675870616390247,0.027922285550988146
-3.081164161115711,-0.6549255013023391,0.039295855994947594,0.06523457011225155
-3.31957303739128,-0.8876144681684777,0.038193092977559844,0.061794440819961584
-3.1327441179511957,-0.32926325552995345,0.0406112337547807,0.06832604683601541
-3.396884235077169,-0.5115840466499765,0.04001390044205961,0.06511578573360133
0.4910724078231188,-3.4570913979304367,0.01435890533931826,0.027498350374830827
0.6549255013023391,-3.081164161115711,0.01421605378690013,0.029782145007082362
-3.1500000000000004,0,0.041133745668774306,0.07150521337478706
-3.446808604606955,-0.18257254209225487,0.040848268798499066,0.06794750340166555
0.8649955952250895,-3.4002520115063604,0.01391225614243074,0.030045922273645578
0.9734052978789647,-2.9958274526516306,0.013411530337249839,0.03317274022218832
-3.1327439823458896,0.32926454573125724,0.04082678576023508,0.07482994100596939
-3.4388571737462614,0.17386380610801885,0.040916968494232424,0.07127391682996058
1.2157412774494314,-3.2576352038418395,0.013029600579453654,0.0344826574518271
1.2812221077334405,-2.877667442679066,0.012166135377063543,0.03802413592769815
-3.0811650258637076,0.6549214329935253,0.03972299000034906,0.07838040181837423
-3.388900298253635,0.5647504757777024,0.04001105168300128,0.07517553640950493
